Id;name;folder;dist_mm;area_mm;golden_ratio;sagging;tilt;out_angle;in_angle;elongation
443;E:\Data\CT2020\Portraits\Chine\S155 CH - 309.JPG;Chine;41.15513796;174.51;1.790354195;0.957001622;0.146567763;1.018061553;0.897241971;0.329362438
444;E:\Data\CT2020\Portraits\Chine\S156 CH - 312.JPG;Chine;40.422163;112.26375;1.807460344;1.020296241;0.119275195;0.920898604;0.834982338;0.319109804
445;E:\Data\CT2020\Portraits\Chine\S157 CH - 313.JPG;Chine;49.39962203;161.251875;1.832005328;1.018370257;0.151961811;0.890831912;0.818939336;0.315987304
446;E:\Data\CT2020\Portraits\Chine\S158 CH - 315.JPG;Chine;44.56188106;123.114375;1.802741319;1.094040876;0.147986428;0.898210973;0.713845637;0.287201885
447;E:\Data\CT2020\Portraits\Chine\S159 CH - 318.JPG;Chine;47.72135034;171.495;1.840769819;1.029936296;0.142997757;0.996770752;0.818351889;0.329865617
448;E:\Data\CT2020\Portraits\Chine\S160 CH - 319.JPG;Chine;44.9699575;138.909375;1.828464622;1.012672084;0.14311265;0.931948501;0.845953439;0.326690504
449;E:\Data\CT2020\Portraits\Chine\S161 CH - 321.JPG;Chine;42.89523035;160.036875;1.81110788;1.016211348;0.107399251;1.053911369;0.861321253;0.346995346
450;E:\Data\CT2020\Portraits\Chine\S162 CH - 324.JPG;Chine;42.88730482;113.338125;1.819499478;0.967055973;0.121588468;0.791162244;0.779206952;0.289441952
451;E:\Data\CT2020\Portraits\Chine\S163 CH - 326.JPG;Chine;42.8396881;142.261875;1.787962797;1.012168068;0.155672878;0.85376488;0.817864512;0.283703105
452;E:\Data\CT2020\Portraits\Chine\S164 CH - 328.JPG;Chine;43.03822189;157.365;1.809529392;0.963344181;0.14464612;1.008438925;0.880680809;0.338117004
453;E:\Data\CT2020\Portraits\Chine\S165 CH - 330.JPG;Chine;42.91772072;130.449375;1.808086835;0.982397054;0.127855453;0.796069702;0.724214917;0.274467195
454;E:\Data\CT2020\Portraits\Chine\S166 CH - 332.JPG;Chine;47.2217605;134.578125;1.792700563;1.039085533;0.175139447;0.813750402;0.761110059;0.267285312
455;E:\Data\CT2020\Portraits\Chine\S167 CH - 334.JPG;Chine;46.59336044;183.5325;1.809272176;1.001523244;0.162658613;1.055272573;0.921441655;0.347402723
456;E:\Data\CT2020\Portraits\Chine\S168 CH - 335.JPG;Chine;45.91968698;177.789375;1.800993826;1.054504413;0.159059655;0.981938181;0.824549681;0.324679361
457;E:\Data\CT2020\Portraits\Chine\S169 CH - 337.JPG;Chine;44.13828764;102.943125;1.790023053;1.058890291;0.1105826;0.634346868;0.576338148;0.214347122
458;E:\Data\CT2020\Portraits\Chine\S170 CH - 339.JPG;Chine;40.29073292;126.88875;1.755161359;1.066616473;0.142132777;0.748015056;0.713100637;0.267606125
459;E:\Data\CT2020\Portraits\Chine\S171 CH - 341.JPG;Chine;45.30528476;171.860625;1.77777129;1.020339175;0.149698517;0.877300571;0.79716537;0.29840918
460;E:\Data\CT2020\Portraits\Chine\S172 CH - 344.JPG;Chine;46.78560104;169.295625;1.792439588;1.043334922;0.151044887;0.93189808;0.877065899;0.317523856
461;E:\Data\CT2020\Portraits\Chine\S173 CH - 345.JPG;Chine;47.20120971;186.5925;1.812994254;1.002335126;0.167724487;1.055456132;0.963586454;0.351839086
462;E:\Data\CT2020\Portraits\Chine\S174 CH - 348.JPG;Chine;47.97674976;132.755625;1.746591229;1.093876638;0.154841048;0.742735183;0.684081883;0.250046447
463;E:\Data\CT2020\Portraits\Chine\S175 CH - 350.JPG;Chine;43.19635764;191.345625;1.824089421;1.006287506;0.127757354;1.110832384;1.031220715;0.38116203
464;E:\Data\CT2020\Portraits\Chine\S176 CH - 351.JPG;Chine;48.56975921;129.369375;1.79163146;1.107879807;0.129369828;0.782557034;0.70187383;0.26073056
465;E:\Data\CT2020\Portraits\Chine\S177 CH - 353.JPG;Chine;43.79225671;151.93125;1.795336259;1.030366843;0.131661019;0.844685519;0.795828931;0.298033043
466;E:\Data\CT2020\Portraits\Chine\S178 CH - 356.JPG;Chine;41.35372248;117.2925;1.788537409;1.111301668;0.144492155;0.793210353;0.752263297;0.26784595
467;E:\Data\CT2020\Portraits\Chine\S179 CH - 357.JPG;Chine;46.94657518;208.20375;1.803324468;0.964130204;0.171101448;1.047041776;0.936013977;0.351917342
468;E:\Data\CT2020\Portraits\Chine\S180 CH - 359.JPG;Chine;46.03546025;195.31125;1.798923555;1.032634845;0.171442389;1.023338114;0.875170694;0.339612585
469;E:\Data\CT2020\Portraits\Chine\S181 CH - 361.JPG;Chine;39.45237187;201.7125;1.801789302;0.969053484;0.149965743;1.137903958;1.006725539;0.380150412
470;E:\Data\CT2020\Portraits\Chine\S182 CH - 364.JPG;Chine;43.23201397;172.54125;1.788347942;0.986559188;0.132112664;0.997655851;0.77427762;0.31450573
471;E:\Data\CT2020\Portraits\Chine\S183 CH - 366.JPG;Chine;43.89229295;146.4975;1.83762197;1.010352778;0.180366155;0.97851423;0.843050163;0.33134801
472;E:\Data\CT2020\Portraits\Chine\S184 CH - 368.JPG;Chine;43.58231472;195.811875;1.802859012;0.867305246;0.14705768;1.220788807;1.10281588;0.412332664
473;E:\Data\CT2020\Portraits\Chine\S185 CH - 370.JPG;Chine;41.61673789;156.245625;1.779903732;0.999819776;0.157380868;0.964878392;0.798669512;0.31075702
