id;name;folder;ell_L;ell_R;in_angle_L;in_angle_R;out_angle_L;out_angle_R;tilt_L;tilt_R;dist_L;dist_R;sagging_L;sagging_R;golden_ratio_L;golden_ratio_R;area_L;area_R;ratio_L;ratio_R;ratio1_L;ratio1_R;ratio2_L;ratio2_R
0;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 01_D0_Front Face_ILLUS_rect.jpg;CHINE;0.3596401045592324;0.34294966675522576;0.8531112593588404;0.8349515310065491;1.1803620344487102;1.1402550661972506;0.1112579266879271;0.11684134077242984;298.7189314389029;339.8602654032978;0.9710358670914254;0.9975112006697185;1.8923030631207491;1.8858302916388212;47429.5;43182.0;1.371433668811357;1.362920581032026;1.4265838658801269;1.4168067611090236;2.148479262112287;2.148479262112287
1;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 02_D0_Front Face_ILLUS_rect.jpg;CHINE;0.29632753036590276;0.32223443623403325;0.7547799440172738;0.7578444638774541;0.8987313632371383;1.0443522394089506;0.11127273676099207;0.1374872128308763;410.18288603987367;376.7452720340363;0.9489830182272625;0.9742269041487276;1.8594219569298602;1.850733806752591;53434.0;48573.0;1.375544023796547;1.3431349655423728;1.4087295526050454;1.3734566177659706;2.0883665474769386;2.0883665474769386
2;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 03_D0_Front Face_ILLUS_rect.jpg;CHINE;0.3159682714086272;0.32355206797135233;0.764832847684459;0.801314504572681;1.0079477930633927;1.0056616534744918;0.1166335674011301;0.12080282386102632;369.58354941744903;388.329756778952;0.9914110439705066;1.0103231604334357;1.8116177169384389;1.807106559775468;47547.0;48906.0;1.3338327108978834;1.333030313287426;1.3627975288574308;1.3619255116442222;2.0867644691906997;2.0867644691906997
3;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 04_D0_Front Face_ILLUS_rect.jpg;CHINE;0.3182446666013375;0.3240597795717841;0.8106413950918461;0.8311907385025803;1.026151908728436;1.0370546053625638;0.13121833954703369;0.13864889288259355;327.23233336576016;367.78934187928826;0.9955036903139635;1.0147205472265328;1.8216212732809314;1.8396914720555628;45855.5;45326.0;1.3555871613539285;1.350340074546044;1.3737661558901368;1.36825081765819;2.0511238776647343;2.0511238776647343
4;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 06_D0_Front Face_ILLUS_rect.jpg;CHINE;0.33411045209791973;0.32857276753173326;0.8402654497056445;0.8085909672918157;1.029597713281207;1.0702269019000414;0.1055491836231612;0.12401455308271692;361.53146474408004;346.2210276687423;1.0219618360920264;1.0567417507812087;1.8139732821138312;1.8173074884145852;47759.0;50137.5;1.3267532432217466;1.3370598279965786;1.336425245252328;1.3470369082809752;2.0296003244993583;2.0296003244993583
5;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 07_D0_Front Face_ILLUS_rect.jpg;CHINE;0.326979241231465;0.3320810483313668;0.8158088721213504;0.8392616135896344;1.0260735538913492;1.047229402002596;0.1354960082150618;0.13192184824862221;331.3125412657963;353.63823322712153;1.0277161988901535;1.057609827228848;1.8416945264628128;1.8415634600123083;43753.0;42970.5;1.349819400020812;1.3430135235198353;1.3783763715541033;1.3710149077372547;2.0816334701036947;2.0816334701036947
6;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 08_D0_Front Face_ILLUS_rect.jpg;CHINE;0.20916898783555413;0.21576326453916791;0.5840819846629901;0.6210672215810339;0.6249656760930768;0.6350896297905327;0.10764856371944236;0.1055192756275886;376.3416001453998;376.66165188402175;1.0849094023330585;1.1359409593651653;1.7957444700346166;1.8026053829378141;31176.0;30554.0;1.3508169586361267;1.3405026357212424;1.3812794023781267;1.3700694571912946;2.0868328710802038;2.0868328710802038
7;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 09_D0_Front Face_ILLUS_rect.jpg;CHINE;0.361723091347084;0.3492019809681136;0.9573005025209179;0.8617359501556908;1.1246339186504433;1.1794220502900936;0.11992945744761574;0.11438697332085764;293.00170647967224;390.85163425525036;0.9900424712754249;1.0155375129261812;1.837007697566938;1.875234940606191;52489.5;52896.0;1.341762089412634;1.35000872828739;1.3707350159234608;1.3796807647038538;2.084775132784975;2.084775132784975
8;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 11_D0_Front Face_ILLUS_rect.jpg;CHINE;0.3506553696452959;0.3457882434550916;0.7762155902956094;0.8181187262392301;1.1771770467753004;1.084587225998976;0.06825806213052736;0.06451105480396795;364.6052660069517;327.0244639166923;0.8886767390045652;0.9142937758204976;1.9062916703335098;1.8871086833239643;52907.0;50379.0;1.3179703290762443;1.3118892535683815;1.3458317515775107;1.3392178357430713;2.0876227117863744;2.0876227117863744
9;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 12_D0_Front Face_ILLUS_rect.jpg;CHINE;0.3032798151912672;0.3076278765770497;0.8305042296912738;0.8460966693386363;0.893832886448498;0.9337169939312835;0.1287642085017125;0.13567073083327238;389.1734831665693;371.32330926027254;1.0009007803765477;1.0712812103648943;1.8099797421951649;1.8105132613403367;40816.5;39558.5;1.3318420687991117;1.3226664388087443;1.3594349335949107;1.3494963445298946;2.0831505929783214;2.0831505929783214
10;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 13_D0_Front Face_ILLUS_rect.jpg;CHINE;0.27369317395477794;0.27973398025545393;0.7063025091518248;0.6952044939402621;0.8414368390367668;0.9036946445797241;0.12735401861530196;0.12488484761743504;365.13148316736533;347.80454281104494;1.0598287532065829;1.080708482314838;1.8100584691379022;1.8216708595670896;40246.5;40032.0;1.3495035317182849;1.3443576341549173;1.3755982491733931;1.3700681473580434;2.074662242543923;2.074662242543923
11;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 14_D0_Front Face_ILLUS_rect.jpg;CHINE;0.3454833436425739;0.3451415133733018;0.836566997173426;0.8339978293613743;1.117309643380057;1.1076899108639382;0.13038621895977084;0.1344220624003695;361.3585477057378;344.77238868563705;1.0318441085031476;1.031856578921443;1.8600938825005466;1.8442831434732772;54467.5;48625.0;1.3444155793560641;1.3248544521724788;1.3620775556738776;1.3415133142708011;2.0512810028827237;2.0512810028827237
12;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 16_D0_Front Face_ILLUS_rect.jpg;CHINE;0.29436987277811977;0.2860457588410198;0.7135159900111792;0.6996288166662483;0.9445312391481439;0.9115364819565472;0.12492975061750829;0.10982670658683936;392.0471910369975;342.0321622303961;1.0119366229495732;1.0337226659183367;1.8315045792909224;1.8084610029374066;45676.0;43617.5;1.3536227013773905;1.349917357285373;1.3697635315630294;1.3658890599530795;2.045644213798405;2.045644213798405
13;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 18_D0_Front Face_ILLUS_rect.jpg;CHINE;0.33509059812749886;0.34565718613287905;0.8453263185186563;0.8823135455836595;1.0146640327192173;1.0542222534073304;0.12322672132228056;0.12205845172272982;327.1819065902025;323.44551318576055;0.9753646983886181;0.9559116319702136;1.8435459868134272;1.8405080813374848;43192.5;43335.0;1.323534416839664;1.3178877915112586;1.3550475472462293;1.3488509252835577;2.097402714414097;2.097402714414097
14;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 19_D0_Front Face_ILLUS_rect.jpg;CHINE;0.3630267518218944;0.3532300345885848;0.8623935183506575;0.885647991998095;1.1495688343547845;1.0872195444281978;0.1164768826072466;0.11519789176559388;330.67809120049066;292.85662020859286;0.9074785654749733;0.9390302461408415;1.8624209457338392;1.8490796171964399;43052.0;44070.5;1.3115601818196645;1.3191659469039934;1.3344515074112933;1.3426160924446346;2.0734732065501187;2.0734732065501187
15;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 21_D0_Front Face_ILLUS_rect.jpg;CHINE;0.3433950556128094;0.33989522159268337;0.8531884188695943;0.8099989932942414;1.1158412805390585;1.1695820375121186;0.13294929437698855;0.1266655264794782;324.05246488801777;355.92414922283655;1.0016161711136566;1.024184831175894;1.8477301553974155;1.8696041872396252;57747.0;57505.5;1.3697794831471373;1.370777329012153;1.3898286310051982;1.390880579275023;2.054219200285061;2.054219200285061
16;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 22_D0_Front Face_ILLUS_rect.jpg;CHINE;0.2890568470775434;0.2853596396177072;0.7544471578657413;0.6626739721992172;0.8833900378419995;1.000515987834925;0.10533277443203899;0.10933334852504357;340.6537831875642;383.64827641995214;1.049883778884424;1.0551967657678782;1.8385625475016734;1.8417113529145306;43713.5;39959.0;1.3430710137590487;1.3311729463011714;1.3633105410121418;1.3507105452335526;2.058995153893439;2.058995153893439
17;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 23_D0_Front Face_ILLUS_rect.jpg;CHINE;0.21599157431872223;0.2286453542392208;0.5824154852994475;0.5670970365217997;0.6478227654659003;0.7501730592147771;0.09151379939066508;0.10290729672087513;397.0302255496425;394.6137351892354;1.0547867229295942;1.1110047043200513;1.7834228471021627;1.8050667205638342;37215.5;37414.0;1.3768912542245801;1.366130372535258;1.412977050989531;1.4011858588716701;2.0957459117463313;2.0957459117463313
18;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 24_D0_Front Face_ILLUS_rect.jpg;CHINE;0.3380707877504474;0.3282880433552604;0.8033545757700341;0.7890474688530755;1.0709405116962105;1.037855069916176;0.13533781653240903;0.12144578738663199;348.919761549844;377.36189526765946;1.0076796047225924;0.9743228195537946;1.8398953041484842;1.8495006203921653;52114.5;49869.0;1.357559006207839;1.354950387554357;1.3789260168559028;1.3761615123721718;2.0597579987557175;2.0597579987557175
19;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 25_D0_Front Face_ILLUS_rect.jpg;CHINE;0.2791533251291874;0.2886256164809438;0.7188634118280023;0.7277302164764288;0.8727406880170676;0.95550718364281;0.11775984330657413;0.10825469004897924;341.1407334224396;336.58579886857973;0.9879597685601886;1.0514407458216328;1.8333002943303054;1.851233787498278;37665.5;39784.5;1.3362935215545475;1.3380982907934793;1.3671246164774469;1.3690948453763276;2.0916791223939724;2.0916791223939724
20;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 26_D0_Front Face_ILLUS_rect.jpg;CHINE;0.26560199588636163;0.26674999515398845;0.6578921230182248;0.6270743273780912;0.7711623732282621;0.8382674511616449;0.17399488178986763;0.1616098384849291;315.12695854210887;360.91688793959196;1.0280342220108678;1.0658316757361164;1.7859296801353985;1.8154547540711679;35808.0;36734.0;1.4598226044658096;1.4655372981540853;1.5242111510005174;1.5307260681160573;2.1400291023306917;2.1400291023306917
21;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 27_D0_Front Face_ILLUS_rect.jpg;CHINE;0.30667659911147876;0.29289767120251514;0.7952368441360003;0.7444875854596492;0.9498564254475608;0.9278676781971259;0.09661564254501237;0.10330255864660536;348.0531568596958;408.8275920238261;0.9458519494653087;1.0004410622928321;1.8261207071132801;1.8589320377481255;42248.5;41547.5;1.322611216113091;1.3273037359924875;1.3458405094131336;1.3508709094254905;2.0720039854159924;2.0720039854159924
